Bat species,Virus genus,Virus subgenus,Country,Study type,#,+,Sample type,Sample tissue,Test,Study,🔗
"Rousettus leschenaultii","genus not specified","","China","cross-sectional","31","0","single","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Myotis myotis","genus not specified","","Slovenia","cross-sectional","31","0","pooled","faecal, rectal, or anal","PCR","Rihtaric et al. 2010","https://www.doi.org/10.1007/s00705-010-0612-5"
"Epomophorus gambianus","betacoronavirus","","Guinea","cross-sectional","14","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Epomophorus wahlbergi","betacoronavirus","","Kenya","cross-sectional","28","1","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Carollia sowelli","genus not specified","","Mexico","cross-sectional","27","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Myotis capaccinii","genus not specified","","Bulgaria","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"","genus not specified","","India","cross-sectional","27","0","pooled","faecal, rectal, or anal","PCR","Yadav et al. 2020","https://www.doi.org/10.4103/ijmr.IJMR_795_20"
"Pteropus lylei","genus not specified","","Thailand","cross-sectional","29","14","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2018","https://www.doi.org/10.1186/s12985-018-0950-6"
"Megaderma lyra","genus not specified","","China","cross-sectional","1","0","pooled","pooled tissue","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"","alphacoronavirus","","Guinea","cross-sectional","13","1","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Hipposideros larvatus","genus not specified","","Thailand","longitudinal","1","0","repeat","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Rhinolophus sinicus","betacoronavirus","Sarbecovirus","China","longitudinal","14","1","repeat","faecal, rectal, or anal","PCR","Hu et al. 2017","https://www.doi.org/10.1371/journal.ppat.1006698"
"Emballonura alecto","betacoronavirus","","Philippines","cross-sectional","8","5","single","intestine","Western Blot","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"","genus not specified","","Kenya","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Tong et al. 2009","https://www.doi.org/10.3201/eid1503.081013"
"Myotis pilosus","genus not specified","","China","cross-sectional","27","0","single","pooled tissue","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Phyllostomus hastatus","genus not specified","","Trinidad","cross-sectional","11","0","pooled","pooled swabs/samples","PCR","Carrington et al. 2008","https://www.doi.org/10.3201/eid1412.080642"
"Hipposideros pomona","alphacoronavirus","","China","longitudinal","2","0","pooled","faecal, rectal, or anal","PCR","Zhou et al. 2018","https://www.doi.org/10.1038/s41586-018-0010-9"
"Rousettus aegyptiacus","genus not specified","","Gabon","cross-sectional","4","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Miniopterus australis","alphacoronavirus","","Australia","longitudinal","154","38","pooled","pooled swabs/samples","PCR","Smith et al. 2016","https://www.doi.org/10.1007/s10393-016-1116-x"
"Plecotus auritus","genus not specified","","France","cross-sectional","4","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Nyctalus leisleri","alphacoronavirus","","Bulgaria","cross-sectional","3","1","single","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Miniopterus fuliginosus","alphacoronavirus","Lineage 2","China","longitudinal","16","3","pooled","pooled swabs/samples","PCR","Du et al. 2016","https://www.doi.org/10.1007/s11427-016-5039-0"
"Eptesicus fuscus","alphacoronavirus","","United States of America","cross-sectional","44","9","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Rousettus leschenaultii","genus not specified","","China","longitudinal","73","0","pooled","lung or respiratory","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Myotis formosus","genus not specified","","South Korea","cross-sectional","5","0","single","faecal, rectal, or anal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Diphylla ecaudata","genus not specified","","Brazil","cross-sectional","2","0","single","liver","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Nyctalus noctula","genus not specified","","China","cross-sectional","17","0","pooled","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Eumops glaucinus","genus not specified","","Brazil","cross-sectional","2","0","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Molossops temminckii","genus not specified","","Brazil","cross-sectional","1","0","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Myotis daubentonii","genus not specified","","China","cross-sectional","10","0","single","urinary","PCR","Wang et al. 2017","https://www.doi.org/10.1038/emi.2016.140"
"Hipposideros pomona","coinfection","","China","cross-sectional","8","1","pooled","faecal, rectal, or anal","PCR","Ge et al. 2016","https://www.doi.org/10.1007/s12250-016-3713-9"
"Pipistrellus pipistrellus","genus not specified","","France","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Rhinolophus pusillus","genus not specified","","China","cross-sectional","1","0","pooled","lung or respiratory","PCR","Poon et al. 2005","https://www.doi.org/10.1128/JVI.79.4.2001-2009.2005"
"Phyllostomus discolor","genus not specified","","Brazil","cross-sectional","5","0","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Hipposideros ruber","genus not specified","","Gabon","cross-sectional","1","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Rhinolophus pusillus","genus not specified","","China","cross-sectional","5","0","single","pooled tissue","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Hipposideros larvatus","genus not specified","","China","cross-sectional","3","0","single","pooled swabs/samples","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Pteronotus davyi","genus not specified","","Mexico","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Myotis aurascens","genus not specified","","South Korea","cross-sectional","1","0","single","oropharyngeal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Rhinolophus luctus","genus not specified","","China","longitudinal","1","0","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Myotis goudoti","genus not specified","","Madagascar","cross-sectional","17","0","single","pooled swabs/samples","PCR","Joffrin et al. 2020","https://www.doi.org/10.1038/s41598-020-63799-7"
"Eptesicus serotinus","genus not specified","","Spain","cross-sectional","7","0","pooled","faecal, rectal, or anal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Pipistrellus tenuis","genus not specified","","China","cross-sectional","11","0","pooled","lung or respiratory","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Rhinolophus cornutus","betacoronavirus","Sarbecovirus","Japan","cross-sectional","27","6","pooled","faecal, rectal, or anal","PCR","Suzuki et al. 2014","https://www.doi.org/10.1292/jvms.14-0012"
"","genus not specified","","India","cross-sectional","4","0","pooled","oropharyngeal","PCR","Yadav et al. 2020","https://www.doi.org/10.4103/ijmr.IJMR_795_20"
"Pipistrellus pygmaeus","genus not specified","","France","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Carollia perspicillata","genus not specified","","Trinidad","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Carrington et al. 2008","https://www.doi.org/10.3201/eid1412.080642"
"Rousettus aegyptiacus","coinfection","","Guinea","cross-sectional","41","1","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Rhinolophus pusillus","genus not specified","","China","cross-sectional","6","0","pooled","pooled tissue","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Carollia sowelli","alphacoronavirus","","Mexico","cross-sectional","253","1","single","oropharyngeal","PCR","Rico-Chávez et al. 2015","https://www.doi.org/10.21753/vmoa.2.1.344"
"Rhinolophus ferrumequinum","alphacoronavirus","","Italy","cross-sectional","38","1","single","faecal, rectal, or anal","PCR","Rizzo et al. 2017","https://www.doi.org/10.1186/s12917-017-1307-x"
"Myotis mystacinus","genus not specified","","Hungary","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Kemenesi et al. 2014","https://www.doi.org/10.1089/vbz.2014.1637"
"Pteropus lylei","genus not specified","","Thailand","cross-sectional","26","0","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2018","https://www.doi.org/10.1186/s12985-018-0950-6"
"","betacoronavirus","","China","longitudinal","57","5","repeat","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1007/s12250-018-0017-2"
"Myotis daubentonii","genus not specified","","China","cross-sectional","10","0","single","faecal, rectal, or anal","PCR","Wang et al. 2017","https://www.doi.org/10.1038/emi.2016.140"
"Eptesicus isabellinus","genus not specified","","Tunisia","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Platyrrhinus lineatus","genus not specified","","Brazil","cross-sectional","1","0","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Myotis nigricans","alphacoronavirus","","Brazil","cross-sectional","8","1","single","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Myotis blythii","genus not specified","","France","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Hipposideros halophyllus","genus not specified","","Thailand","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Nyctalus noctula","genus not specified","","China","longitudinal","54","0","pooled","lung or respiratory","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Rhinolophus ferrumequinum","alphacoronavirus","","Italy","cross-sectional","38","4","single","faecal, rectal, or anal","PCR","Rizzo et al. 2017","https://www.doi.org/10.1186/s12917-017-1307-x"
"","alphacoronavirus","","Kenya","cross-sectional","32","5","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Pipistrellus kuhlii","genus not specified","","France","cross-sectional","20","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Rhinolophus hipposideros","genus not specified","","France","cross-sectional","4","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Hipposideros larvatus","genus not specified","","Thailand","cross-sectional","18","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"","alphacoronavirus","","Vietnam","cross-sectional","45","1","pooled","faecal, rectal, or anal","PCR","Nguyen quynh huong et al. 2020","https://www.doi.org/10.1371/journal.pone.0237129"
"Hipposideros gigas","genus not specified","","Gabon","cross-sectional","7","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Pteropus lylei","genus not specified","","Thailand","longitudinal","224","22","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2018","https://www.doi.org/10.1186/s12985-018-0950-6"
"Dermanura phaeotis","genus not specified","","Mexico","cross-sectional","3","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Rhinolophus affinis","betacoronavirus","Sarbecovirus","China","cross-sectional","499","2","pooled","faecal, rectal, or anal","PCR","Wang et al. 2019","https://www.doi.org/10.3390/v11040379"
"Hipposideros armiger","genus not specified","","China","cross-sectional","12","0","pooled","pooled swabs/samples","PCR","Lau et al. 2005","https://www.doi.org/10.1073/pnas.0506735102"
"Miniopterus schreibersii","genus not specified","","Italy","cross-sectional","7","0","single","faecal, rectal, or anal","PCR","Lecis et al. 2019","https://www.doi.org/10.1007/s11262-018-1614-8"
"Myotis nattereri","genus not specified","","Netherlands","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Reusken et al. 2010","https://www.doi.org/10.1089/vbz.2009.0173"
"Myonycteris angolensis","betacoronavirus","","Guinea","cross-sectional","13","1","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Desmodus rotundus","genus not specified","","Costa Rica","cross-sectional","27","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Rousettus leschenaultii","genus not specified","","Thailand","cross-sectional","35","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Nyctalus noctula","genus not specified","","Germany","cross-sectional","3","0","pooled","faecal, rectal, or anal","PCR","Gloza-rausch et al. 2008","https://www.doi.org/10.3201/eid1404.071439"
"Pteropus rufus","genus not specified","","Madagascar","longitudinal","3","0","pooled","faecal, rectal, or anal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"Hipposideros pomona","genus not specified","","China","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Taphozous longimanus","genus not specified","","Thailand","cross-sectional","5","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Myotis thysanodes","genus not specified","","United States of America","cross-sectional","3","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Craseonycteris thonglongyai","genus not specified","","Thailand","cross-sectional","6","0","single","urinary","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
